gene,locus_tag, C, N,C/N,,Gene_of_interest,Locus_tag,C,N,C/N
AVERAGES,,1594.058273,427.4244604,3.730706873,,,,2087.069767,563.5116279,3.701155678
STDEVS,,1061.081517,286.652187,0.255353753,,,,1310.425656,350.0740311,0.186156744
 aas,ECB_02684,3707,990,3.744444444,, ccmC,ECB_02126,1328,336,3.952380952
 aat,ECB_00889,1199,338,3.547337278,, cdsA,ECB_00173,1515,360,4.208333333
 abgA,ECB_01315,2082,594,3.505050505,, dadA,ECB_01164,2146,593,3.618887015
 abgB,ECB_01314,2337,643,3.634525661,, flgB,ECB_01069,680,193,3.523316062
 abgR,ECB_01316,1521,422,3.604265403,, flgC,ECB_01070,625,168,3.720238095
 abgT,ECB_01313,2607,614,4.245928339,, flgD,ECB_01071,1036,280,3.7
 abrB,ECB_00675,1716,424,4.047169811,, flgE,ECB_01072,1870,507,3.688362919
 accA,ECB_00183,1596,439,3.635535308,, flgF,ECB_01073,1144,325,3.52
 accB,ECB_03113,728,192,3.791666667,, flgG,ECB_01074,1218,341,3.571847507
 accC,ECB_03114,2207,618,3.571197411,, flgK,ECB_01078,2595,708,3.665254237
 accD,ECB_02241,1474,407,3.621621622,, flgL,ECB_01079,1521,413,3.682808717
 aceA,ECB_03887,2163,568,3.808098592,, flhA,ECB_01850,3425,907,3.776185226
 aceB,ECB_03886,2755,738,3.733062331,, hemA,ECB_01185,2057,586,3.510238908
 aceE,ECB_00113,4527,1218,3.716748768,, hsdR,ECB_04216,6118,1669,3.665668065
 aceF,ECB_00114,2971,788,3.770304569,, malK,ECB_03907,1846,515,3.584466019
 aceK,ECB_03888,3109,839,3.705601907,, malP,ECB_03269,4196,1131,3.709991158
 ackA,ECB_02221,1946,525,3.706666667,, malQ,ECB_03268,3604,963,3.742471443
 acnA,ECB_01253,4447,1196,3.718227425,, menD,ECB_02191,2793,781,3.576184379
 acnB,ECB_00117,4272,1125,3.797333333,, mgtA,ECB_04110,4567,1189,3.841042893
 acpD,ECB_01367,1002,250,4.008,, nrdA,ECB_02160,3932,1036,3.795366795
 acpP,ECB_01090,377,94,4.010638298,, pepD,ECB_00232,2410,638,3.777429467
 acpS,ECB_02457,637,184,3.461956522,, pheA,ECB_02488,1929,536,3.598880597
 acpT,ECB_03324,990,268,3.694029851,, rbsB,ECB_03637,1408,381,3.695538058
 acrA,ECB_00414,1891,527,3.588235294,, rbsC,ECB_03636,1540,392,3.928571429
 acrB,ECB_00413,5224,1324,3.945619335,, rbsD,ECB_03634,668,186,3.591397849
 acrD,ECB_02361,5172,1343,3.851079672,, rbsK,ECB_03638,1429,408,3.50245098
 acrE,ECB_03123,1853,511,3.626223092,, rpoD,ECB_02937,3130,858,3.648018648
 acrF,ECB_03124,5130,1294,3.964451314,, syd,ECB_02638,945,243,3.888888889
 acrR,ECB_00415,1103,300,3.676666667,, thrC,ECB_00004,2162,564,3.833333333
 acs,ECB_03941,3304,876,3.771689498,, trg,ECB_01378,2557,754,3.391246684
 actP,ECB_03939,2779,683,4.068814056,, yaeJ,ECB_00190,677,219,3.091324201
 ada,ECB_02140,1744,523,3.334608031,, yaeT,ECB_00175,4211,1074,3.920856611
 add,ECB_01592,1634,460,3.552173913,, ybcU,ECB_00509,464,120,3.866666667
 ade,ECB_03549,2864,793,3.611601513,, ydfE,ECB_01545,4173,1122,3.719251337
 adhE,ECB_01215,4387,1155,3.798268398,, yidJ,ECB_03562,2664,697,3.822094692
 adhP,ECB_01436,1595,433,3.683602771,, yjcP,ECB_03952,2410,676,3.565088757
 adiA,ECB_03988,3862,1011,3.819980218,, yjgF,ECB_04111,617,164,3.762195122
 adiY,ECB_03987,1308,347,3.76945245,, yjiD,ECB_04195,667,180,3.705555556
 adk,ECB_00425,1073,289,3.712802768,, yjjY,ECB_04278,223,56,3.982142857
 aegA,ECB_02359,3174,926,3.427645788,, yliJ,ECB_00805,1094,290,3.772413793
 aer,ECB_02941,2443,703,3.475106686,, ynbD,ECB_01366,2328,593,3.925801012
 aes,ECB_00427,1665,425,3.917647059,, yohGH,ECB_02068,2219,636,3.488993711
 agaA,ECB_03002,1799,521,3.452975048,, yqhC,ECB_02883,1603,443,3.618510158
 agaB,ECB_03005,820,216,3.796296296,,,,,,
 agaC,ECB_03006,1350,313,4.313099042,,alr,,,,
 agaD,ECB_03007,1372,330,4.157575758,,b0762
 agaE,ECB_03000,1470,381,3.858267717,,b1009
 agaF,ECB_03001,672,177,3.796610169,,b1044
 agaI,ECB_03008,1238,339,3.651917404,,b1168
 agaR,ECB_02996,1299,377,3.445623342,,b1490
 agaS,ECB_03003,1900,506,3.754940711,,b2445
 agaV,ECB_02998,787,210,3.747619048,,b2462
 agaW,ECB_02999,1289,308,4.185064935,,b2772
 agaY,ECB_03004,1417,380,3.728947368,,b2809
 agaZ,ECB_02997,2159,577,3.741767764,,ßaG
 agp,ECB_01005,2080,542,3.837638376,,yafU
 ahpC,ECB_00574,961,242,3.97107438,,ybaC
 ahpF,ECB_00575,2540,681,3.729809104,,ydfC
 aidB,ECB_04054,2727,779,3.500641849,,yhcJ
 ais,ECB_02178,1028,279,3.684587814,,ykfB
 alaS,ECB_02547,4336,1209,3.58643507,,
 aldA,ECB_01370,2353,630,3.734920635
 aldB,ECB_03443,2560,674,3.798219585
 aldH,ECB_01277,2427,666,3.644144144
 alkA,ECB_01974,1448,382,3.790575916
 alkB,ECB_02139,1113,302,3.685430464
 allA,ECB_00455,838,224,3.741071429
 allB,ECB_00462,2249,605,3.717355372
 allC,ECB_00466,2061,557,3.700179533
 allD,ECB_00467,1717,464,3.700431034
 allP,ECB_00461,2495,590,4.228813559
 allR,ECB_00456,1314,362,3.629834254
 alsA,ECB_03959,2535,699,3.626609442
 alsB,ECB_03960,1505,388,3.878865979
 alsC,ECB_03958,1625,385,4.220779221
 alsE,ECB_03957,1206,305,3.954098361
 alsK,ECB_03956,1520,428,3.551401869
 amiA,ECB_02335,1421,412,3.449029126
 amiB,ECB_04036,2156,620,3.477419355
 amiC,ECB_02665,2075,574,3.614982578
 amn,ECB_01894,2480,670,3.701492537
 ampC,ECB_04022,1912,498,3.83935743
 ampD,ECB_00109,957,255,3.752941176
 ampE,ECB_00110,1515,394,3.845177665
 ampG,ECB_00384,2528,606,4.171617162
 ampH,ECB_00323,1899,516,3.680232558
 amtB,ECB_00403,2070,512,4.04296875
 ansA,ECB_01736,1687,451,3.740576497
 ansB,ECB_02787,1699,439,3.870159453
 ansP,ECB_01410,2545,622,4.091639871
 apaG,ECB_00054,620,165,3.757575758
 apaH,ECB_00053,1453,375,3.874666667
 apbA,ECB_00373,1521,426,3.570422535
 aphA,ECB_03927,1195,322,3.711180124
 appA,ECB_00983,2122,582,3.64604811
 appB,ECB_00982,2045,475,4.305263158
 appC,ECB_00981,2714,671,4.044709389
 appY,ECB_00518,1336,334,4
 apt,ECB_00420,927,232,3.995689655
 aqpZ,ECB_00880,1118,273,4.095238095
 araA,ECB_00064,2584,695,3.717985612
 araB,ECB_00065,2778,757,3.669749009
 araC,ECB_00066,1528,424,3.603773585
 araD,ECB_00063,1155,311,3.713826367
 araE,ECB_02689,2366,601,3.936772047
 araF,ECB_01869,1629,420,3.878571429
 araG,ECB_01868,2481,683,3.63250366
 araH,ECB_01867,1592,389,4.092544987
 araJ,ECB_00344,1960,467,4.197002141
 arcA,ECB_04277,1219,340,3.585294118
 arcB,ECB_03075,4008,1045,3.835406699
 arcC,ECB_00471,1424,386,3.689119171
 argA,ECB_02666,2196,623,3.524879615
 argB,ECB_03844,1228,331,3.709969789
 argC,ECB_03843,1654,429,3.855477855
 argD,ECB_03210,2008,535,3.753271028
 argE,ECB_03842,1941,517,3.754352031
 argG,ECB_03038,2245,611,3.674304419
 argH,ECB_03845,2283,625,3.6528
 argI,ECB_04120,1657,441,3.757369615
 argK,ECB_02749,1637,468,3.497863248
 argR,ECB_03097,772,197,3.918781726
 argS,ECB_01847,2934,785,3.737579618
 argT,ECB_02235,1315,328,4.009146341
 arnT,ECB_02183,3002,721,4.163661581
 aroA,ECB_00912,2089,555,3.763963964
 aroB,ECB_03241,1751,474,3.694092827
 aroC,ECB_02254,1775,497,3.571428571
 aroD,ECB_01662,1256,325,3.864615385
 aroE,ECB_03132,1341,358,3.745810056
 aroF,ECB_02490,1723,488,3.530737705
 aroG,ECB_00707,1716,474,3.620253165
 aroH,ECB_01673,1727,495,3.488888889
 aroK,ECB_03242,852,250,3.408
 aroL,ECB_00335,840,235,3.574468085
 aroM,ECB_00337,1135,298,3.808724832
 aroP,ECB_00111,2329,561,4.151515152
 arsB,ECB_03351,2177,511,4.260273973
 arsC,ECB_03352,713,193,3.694300518
 arsR,ECB_03350,599,167,3.586826347
 artI,ECB_00868,1249,315,3.965079365
 artJ,ECB_00865,1248,314,3.974522293
 artM,ECB_00866,1169,272,4.297794118
 artP,ECB_00869,1210,337,3.590504451
 artQ,ECB_00867,1235,302,4.089403974
 ascB,ECB_02566,2473,648,3.816358025
 ascF,ECB_02565,2353,583,4.036020583
 ascG,ECB_02564,1661,456,3.64254386
 asd,ECB_03285,1824,490,3.72244898
 aslA,ECB_03676,2804,722,3.88365651
 aslB,ECB_03675,2137,573,3.729493892
 asmA,ECB_01970,3130,873,3.585337915
 asnA,ECB_03628,1679,458,3.665938865
 asnB,ECB_00631,2877,754,3.815649867
 asnC,ECB_03627,770,198,3.888888889
 asnS,ECB_00934,2410,643,3.748055988
 aspA,ECB_04009,2323,624,3.72275641
 aspC,ECB_00932,1969,536,3.673507463
 aspS,ECB_01837,3020,812,3.719211823
 asr,ECB_01566,454,146,3.109589041
 astA,ECB_01716,1748,476,3.672268908
 astB,ECB_01714,2212,636,3.477987421
 astC,ECB_01717,1965,546,3.598901099
 astD,ECB_01715,2385,670,3.559701493
 astE,ECB_01713,1631,445,3.665168539
 atoA,ECB_02149,1034,287,3.602787456
 atoB,ECB_02151,1793,500,3.586
 atoC,ECB_02147,2335,656,3.55945122
 atoD,ECB_02148,1062,287,3.700348432
 atoE,ECB_02150,2235,535,4.177570093
 atoS,ECB_02146,3054,845,3.614201183
 atpA,ECB_03618,2491,683,3.647144949
 atpB,ECB_03622,1457,333,4.375375375
 atpC,ECB_03615,667,183,3.644808743
 atpD,ECB_03616,2269,604,3.756622517
 atpE,ECB_03621,387,90,4.3
 atpF,ECB_03620,763,218,3.5
 atpG,ECB_03617,1423,385,3.696103896
 atpH,ECB_03619,853,238,3.584033613
